timestamp;close
2025-12-15;1.50602
2025-12-12;1.50331
2025-12-05;1.50670
2025-11-28;1.52742
2025-11-21;1.54943
2025-11-14;1.52999
2025-11-07;1.54059
2025-10-31;1.52835
2025-10-24;1.53539
2025-10-17;1.53988
2025-10-10;1.54583
2025-10-03;1.51492
2025-09-26;1.52765
2025-09-19;1.51722
2025-09-12;1.50444
2025-09-05;1.52579
2025-08-29;1.52929
2025-08-22;1.54131
2025-08-15;1.53751
2025-08-08;1.53280
2025-08-01;1.54440
2025-07-25;1.52323
2025-07-18;1.53657
2025-07-11;1.52022
2025-07-04;1.52672
2025-06-27;1.53139
2025-06-20;1.55039
2025-06-13;1.54178
2025-06-06;1.54059
2025-06-01;1.55473
2025-05-25;1.54107
2025-05-18;1.56177
2025-05-11;1.55720
2025-05-04;1.55222
2025-04-27;1.56226
2025-04-20;1.56845
2025-04-13;1.58748
2025-04-06;1.66583
2025-03-30;1.59258
2025-03-23;1.59436
2025-03-16;1.58110
2025-03-09;1.58665
2025-03-02;1.60968
2025-02-23;1.57183
2025-02-16;1.57530
2025-02-09;1.60411
2025-02-02;1.62496
2025-01-26;1.58755
2025-01-19;1.61368
2025-01-12;1.62747
2025-01-05;1.61082
2024-12-29;1.60953
2024-12-22;1.59949
2024-12-15;1.57468
2024-12-08;1.56543
2024-12-01;1.53610
2024-11-24;1.52952
2024-11-17;1.54823
2024-11-10;1.51930
2024-11-03;1.51401
2024-10-27;1.51270
2024-10-20;1.49158
2024-10-13;1.48381
2024-10-06;1.47102
2024-09-29;1.44869
2024-09-22;1.46964
2024-09-15;1.49189
2024-09-08;1.49981
2024-09-01;1.47839
2024-08-25;1.47245
2024-08-18;1.50015
2024-08-11;1.52161
2024-08-04;1.53506
2024-07-28;1.52672
2024-07-21;1.49615
2024-07-14;1.47687
2024-07-07;1.48326
2024-06-30;1.49855
2024-06-23;1.50730
2024-06-16;1.51217
2024-06-09;1.51999
2024-06-02;1.50362
2024-05-26;1.50914
2024-05-19;1.49481
2024-05-12;1.51520
2024-05-05;1.51345
2024-04-28;1.53156
2024-04-21;1.55877
2024-04-14;1.54679
2024-04-07;1.52170
2024-03-31;1.53464
2024-03-24;1.53537
2024-03-17;1.52546
2024-03-10;1.50943
2024-03-03;1.53304
2024-02-25;1.52323
2024-02-18;1.53257
2024-02-11;1.53539
2024-02-04;1.53565
2024-01-28;1.52156
2024-01-21;1.51837
2024-01-14;1.49633
2024-01-07;1.48920
2023-12-31;1.46843
2023-12-24;1.47080
2023-12-17;1.49365
2023-12-10;1.52323
2023-12-03;1.50060
2023-11-26;1.52091
2023-11-19;1.53846
2023-11-12;1.57480
2023-11-05;1.53728
2023-10-29;1.57803
2023-10-22;1.58356
2023-10-15;1.58733
2023-10-08;1.57354
2023-10-01;1.55475
2023-09-24;1.55248
2023-09-17;1.55506
2023-09-10;1.56646
2023-09-03;1.55082
2023-08-27;1.56104
2023-08-20;1.56157
2023-08-13;1.53953
2023-08-06;1.52200
2023-07-30;1.50403
2023-07-23;1.48597
2023-07-16;1.46263
2023-07-09;1.49477
2023-07-02;1.50089
2023-06-25;1.49853
2023-06-18;1.45406
2023-06-11;1.48410
2023-06-04;1.51508
2023-05-28;1.53351
2023-05-21;1.50435
2023-05-14;1.50446
2023-05-07;1.48157
2023-04-30;1.51279
2023-04-23;1.49396
2023-04-16;1.49158
2023-04-09;1.50155
2023-04-02;1.49687
2023-03-26;1.50693
2023-03-19;1.48942
2023-03-12;1.51547
2023-03-05;1.48258
2023-02-26;1.48608
2023-02-19;1.45711
2023-02-12;1.44592
2023-02-05;1.45075
2023-01-29;1.40948
2023-01-22;1.43678
2023-01-15;1.43493
2023-01-08;1.45391
2023-01-01;1.46778
2022-12-25;1.48876
2022-12-18;1.49232
2022-12-11;1.47375
2022-12-04;1.47602
2022-11-27;1.48854
2022-11-20;1.50121
2022-11-13;1.49256
2022-11-06;1.55933
2022-10-30;1.56296
2022-10-23;1.56301
2022-10-16;1.61220
2022-10-09;1.57099
