timestamp;close;inflation
2026-01-22;6.96200;0.7
2026-01-21;6.96400;0.7
2026-01-20;6.95990;0.7
2026-01-19;6.96400;0.7
2026-01-16;6.96910;0.7
2026-01-15;6.96800;0.7
2026-01-14;6.97460;0.7
2026-01-13;6.97520;0.7
2026-01-12;6.97330;0.7
2026-01-09;6.97840;0.7
2026-01-08;6.98350;0.7
2026-01-07;6.99720;0.7
2026-01-06;6.98300;0.7
2026-01-05;6.98860;0.7
2026-01-02;6.99310;0.7
2026-01-01;6.99310;0.7
2025-12-31;6.98790;0.0
2025-12-30;6.99400;0.0
2025-12-29;7.00560;0.0
2025-12-26;7.00630;0.0
2025-12-25;7.00580;0.0
2025-12-24;7.01600;0.0
2025-12-23;7.02800;0.0
2025-12-22;7.03660;0.0
2025-12-19;7.04080;0.0
2025-12-18;7.04120;0.0
2025-12-17;7.04500;0.0
2025-12-16;7.04320;0.0
2025-12-15;7.04820;0.0
2025-12-12;7.05460;0.0
2025-12-11;7.05800;0.0
2025-12-10;7.06460;0.0
2025-12-09;7.06360;0.0
2025-12-08;7.07300;0.0
2025-12-05;7.07200;0.0
2025-12-04;7.07100;0.0
2025-12-03;7.06400;0.0
2025-12-02;7.07000;0.0
2025-12-01;7.07170;0.0
2025-11-28;7.07400;0.0
2025-11-27;7.07900;0.0
2025-11-26;7.07540;0.0
2025-11-25;7.08450;0.0
2025-11-24;7.10450;0.0
2025-11-21;7.10660;0.0
2025-11-20;7.11800;0.0
2025-11-19;7.11350;0.0
2025-11-18;7.10740;0.0
2025-11-17;7.10750;0.0
2025-11-14;7.09940;0.0
2025-11-13;7.09650;0.0
2025-11-12;7.11250;0.0
2025-11-11;7.11780;0.0
2025-11-10;7.11850;0.0
2025-11-07;7.12100;0.0
2025-11-06;7.11870;0.0
2025-11-05;7.12670;0.0
2025-11-04;7.13000;0.0
2025-11-03;7.12010;0.0
2025-10-31;7.12000;0.0
2025-10-30;7.10970;0.0
2025-10-29;7.09900;0.0
2025-10-28;7.09890;0.0
2025-10-27;7.10670;0.0
2025-10-24;7.12150;0.0
2025-10-23;7.12350;0.0
2025-10-22;7.12400;0.0
2025-10-21;7.12500;0.0
2025-10-20;7.12300;0.0
2025-10-17;7.12770;0.0
2025-10-16;7.12300;0.0
2025-10-15;7.12780;0.0
2025-10-14;7.13800;0.0
2025-10-13;7.13210;0.0
2025-10-10;7.13600;0.0
2025-10-09;7.13090;0.0
2025-10-08;7.11900;0.0
2025-10-07;7.11900;0.0
2025-10-06;7.11950;0.0
2025-10-03;7.11900;0.0
2025-10-02;7.11950;0.0
2025-10-01;7.11900;0.0
2025-09-30;7.12100;0.0
2025-09-29;7.12180;0.0
2025-09-26;7.13490;0.0
2025-09-25;7.13480;0.0
2025-09-24;7.13150;0.0
2025-09-23;7.11190;0.0
2025-09-22;7.11380;0.0
2025-09-19;7.11880;0.0
2025-09-18;7.11280;0.0
2025-09-17;7.10570;0.0
2025-09-16;7.11420;0.0
2025-09-15;7.11750;0.0
2025-09-12;7.12460;0.0
2025-09-11;7.11840;0.0
2025-09-10;7.12070;0.0
2025-09-09;7.12500;0.0
2025-09-08;7.12870;0.0
2025-09-05;7.13240;0.0
2025-09-04;7.14010;0.0
2025-09-03;7.14150;0.0
2025-09-02;7.13900;0.0
2025-09-01;7.13750;0.0
2025-08-29;7.13040;0.0
2025-08-28;7.13060;0.0
2025-08-27;7.15400;0.0
2025-08-26;7.15180;0.0
2025-08-25;7.15480;0.0
2025-08-22;7.16660;0.0
2025-08-21;7.18020;0.0
2025-08-20;7.17700;0.0
2025-08-19;7.18300;0.0
2025-08-18;7.18540;0.0
2025-08-15;7.18310;0.0
2025-08-14;7.17950;0.0
2025-08-13;7.17750;0.0
2025-08-12;7.18290;0.0
2025-08-11;7.18810;0.0
2025-08-08;7.17990;0.0
2025-08-07;7.18150;0.0
2025-08-06;7.18360;0.0
2025-08-05;7.18340;0.0
2025-08-04;7.18000;0.0
2025-08-01;7.19300;0.0
2025-07-31;7.19980;0.0
2025-07-30;7.20000;0.0
2025-07-29;7.17740;0.0
2025-07-28;7.17870;0.0
2025-07-25;7.16800;0.0
2025-07-24;7.15570;0.0
2025-07-23;7.15470;0.0
2025-07-22;7.16950;0.0
2025-07-21;7.17070;0.0
2025-07-18;7.17760;0.0
2025-07-17;7.18320;0.0
2025-07-16;7.17710;0.0
2025-07-15;7.18100;0.0
2025-07-14;7.17230;0.0
2025-07-11;7.17020;0.0
2025-07-10;7.17800;0.0
2025-07-09;7.18150;0.0
