timestamp;close;inflation
2026-01-21;7.79720;2.1
2026-01-20;7.79880;2.1
2026-01-19;7.79650;2.1
2026-01-16;7.79590;2.1
2026-01-15;7.79730;2.1
2026-01-14;7.79770;2.1
2026-01-13;7.80040;2.1
2026-01-12;7.79620;2.1
2026-01-09;7.79440;2.1
2026-01-08;7.79160;2.1
2026-01-07;7.78680;2.1
2026-01-06;7.78810;2.1
2026-01-05;7.78520;2.1
2026-01-02;7.79050;2.1
2026-01-01;7.78430;2.1
2025-12-31;7.78220;1.7
2025-12-30;7.78030;1.7
2025-12-29;7.77340;1.7
2025-12-26;7.77070;1.7
2025-12-25;7.77490;1.7
2025-12-24;7.77470;1.7
2025-12-23;7.77710;1.7
2025-12-22;7.78030;1.7
2025-12-19;7.78080;1.7
2025-12-18;7.78070;1.7
2025-12-17;7.78100;1.7
2025-12-16;7.77990;1.7
2025-12-15;7.78180;1.7
2025-12-12;7.78380;1.7
2025-12-11;7.78180;1.7
2025-12-10;7.78050;1.7
2025-12-09;7.78210;1.7
2025-12-08;7.78020;1.7
2025-12-05;7.78480;1.7
2025-12-04;7.78220;1.7
2025-12-03;7.78360;1.7
2025-12-02;7.78420;1.7
2025-12-01;7.78860;1.7
2025-11-28;7.78580;1.7
2025-11-27;7.77930;1.7
2025-11-26;7.77830;1.7
2025-11-25;7.77540;1.7
2025-11-24;7.78130;1.7
2025-11-21;7.78220;1.7
2025-11-20;7.78320;1.7
2025-11-19;7.79050;1.7
2025-11-18;7.78440;1.7
2025-11-17;7.77450;1.7
2025-11-14;7.77280;1.7
2025-11-13;7.77100;1.7
2025-11-12;7.77140;1.7
2025-11-11;7.77240;1.7
2025-11-10;7.77330;1.7
2025-11-07;7.77680;1.7
2025-11-06;7.77530;1.7
2025-11-05;7.77440;1.7
2025-11-04;7.77420;1.7
2025-11-03;7.77240;1.7
2025-10-31;7.77040;1.7
2025-10-30;7.76930;1.7
2025-10-29;7.77090;1.7
2025-10-28;7.76940;1.7
2025-10-27;7.76790;1.7
2025-10-24;7.76960;1.7
2025-10-23;7.77130;1.7
2025-10-22;7.77200;1.7
2025-10-21;7.77200;1.7
2025-10-20;7.76770;1.7
2025-10-17;7.76730;1.7
2025-10-16;7.77050;1.7
2025-10-15;7.77440;1.7
2025-10-14;7.77380;1.7
2025-10-13;7.78040;1.7
2025-10-10;7.78230;1.7
2025-10-09;7.78150;1.7
2025-10-08;7.78190;1.7
2025-10-07;7.78300;1.7
2025-10-06;7.78270;1.7
2025-10-03;7.78080;1.7
2025-10-02;7.78280;1.7
2025-10-01;7.78180;1.7
2025-09-30;7.78270;1.7
2025-09-29;7.78310;1.7
2025-09-26;7.77920;1.7
2025-09-25;7.78280;1.7
2025-09-24;7.77860;1.7
2025-09-23;7.77580;1.7
2025-09-22;7.77020;1.7
2025-09-19;7.77460;1.7
2025-09-18;7.77770;1.7
2025-09-17;7.77830;1.7
2025-09-16;7.78060;1.7
2025-09-15;7.77980;1.7
2025-09-12;7.78020;1.7
2025-09-11;7.78890;1.7
2025-09-10;7.78900;1.7
2025-09-09;7.78900;1.7
2025-09-08;7.79280;1.7
2025-09-05;7.79680;1.7
2025-09-04;7.80080;1.7
2025-09-03;7.79990;1.7
2025-09-02;7.80700;1.7
2025-09-01;7.79670;1.7
2025-08-29;7.79700;1.7
2025-08-28;7.79360;1.7
2025-08-27;7.78580;1.7
2025-08-26;7.79300;1.7
2025-08-25;7.81150;1.7
2025-08-22;7.81390;1.7
2025-08-21;7.81380;1.7
2025-08-20;7.81230;1.7
2025-08-19;7.79900;1.7
2025-08-18;7.81960;1.7
2025-08-15;7.82580;1.7
2025-08-14;7.83290;1.7
2025-08-13;7.84970;1.7
2025-08-12;7.84990;1.7
2025-08-11;7.84980;1.7
2025-08-08;7.84960;1.7
2025-08-07;7.84970;1.7
2025-08-06;7.84950;1.7
2025-08-05;7.84980;1.7
2025-08-04;7.84970;1.7
2025-08-01;7.84940;1.7
2025-07-31;7.84970;1.7
2025-07-30;7.84960;1.7
2025-07-29;7.84990;1.7
2025-07-28;7.84960;1.7
2025-07-25;7.84920;1.7
2025-07-24;7.84970;1.7
2025-07-23;7.84970;1.7
2025-07-22;7.84970;1.7
2025-07-21;7.84980;1.7
2025-07-18;7.84720;1.7
2025-07-17;7.84900;1.7
2025-07-16;7.84950;1.7
2025-07-15;7.84990;1.7
2025-07-14;7.84990;1.7
2025-07-11;7.84970;1.7
2025-07-10;7.84990;1.7
